stage,central_nervous_system,intermediate_mesoderm,paraxial_mesoderm,periderm
2dpf,0,1.25,0.66,0
3dpf,0.39,0,0,0.36
5dpf,0,0,0,0.56
10dpf,0.78,0,0,0
