stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.32,0,0,0,0,0,0,0,8.51,18.78
12hpf,9.16,0,2.67,0,2.26,0,0,6.56,3.99,2.03
14hpf,5.9,0,6.13,2.3,0,4.93,0,2.93,0,9.91
16hpf,17.57,0,4.22,2.65,11.14,1.66,0,1.72,0,18.55
19hpf,42.65,2.2,0,2.21,3.56,0,0,0,5.55,8.58
24hpf,30.48,0,22.38,0,13.9,5.14,8.6,1.11,5.78,14.63
2dpf,306.79,4.31,94.87,74.12,141.31,247.67,91.74,9.6,87.07,232.36
3dpf,253.28,5.12,35.82,22.63,35.96,263.67,15.04,0.36,19.58,66.67
5dpf,230.99,21.64,279.17,152.51,49.75,563.31,69.19,21.01,88.28,532.15
10dpf,406.91,22.33,178.92,61.62,31.82,253.26,75.44,0,29.02,91.05
