stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
24hpf,0,2.84,0.84,0,0,0
2dpf,0,14.37,0,0,2.17,2.84
3dpf,3.51,72.79,0,0,1.23,1
5dpf,0.46,70.34,0,0.71,3.94,0
10dpf,1.7,36.26,0,0,1.89,0
