stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,0.6,0,0
3dpf,11.11,0,0,0.86,0,0,0,0
5dpf,2.62,1.65,0.46,10.5,2.06,0,0.65,0.69
10dpf,24.29,0.48,0,0,0,0,0.87,0
