stage,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.78,1.5,0,0
5dpf,3.26,0,1.99,0.76,0.33
10dpf,0.85,0,2.7,0,0
