stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,11.62,0,1.27,3.31,8.04,0,1.95
3dpf,7.06,0.43,0,0,0.93,0,0.42
5dpf,5.97,0.42,1.04,0.36,8.97,1.95,1.94
10dpf,3.71,0,2.28,0,2.18,0.94,0.38
