stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0,2.53,0.58,0
3dpf,0.3,1.35,0,1.12
5dpf,0.38,0,0,0.96
10dpf,0,1.58,0,0.49
