stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0.57,0,0,0,1.64
3dpf,0.44,0,0,0,0,0
5dpf,2.46,0.86,1.85,0.49,0.32,0.73
10dpf,0,0,0.84,0.51,0,0
