stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,0,1.4,1.46,0
3dpf,1.34,1.21,0.42,0
5dpf,0,3.94,0,0.37
10dpf,0.49,2.45,0,0
