stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,0,0,0,0,0,0.72
3dpf,0.37,0.36,0,0.73,0,0.41
5dpf,1.66,0,0.66,0,0.71,0
10dpf,2.26,0,0,0,0,0
