stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,periderm
2dpf,0.54,0,0,0,1
3dpf,5.69,0,0,0,0
5dpf,0.4,0.35,0,0.29,0.31
10dpf,2.78,1.05,0.63,0.82,0
