stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,22.79,0,0,0,0
12hpf,6.24,11.65,0,180.24,260.98,4.83,0,0,58.32
14hpf,10.57,11.68,7.41,45.48,15.58,2.87,0,0,54.49
16hpf,47.84,18.03,0,3.42,17.52,1.93,0,1.89,86.57
19hpf,17.71,0,0,0,13.14,2.49,0,0,67.7
24hpf,20.23,4.36,2.36,0,43.16,2.36,0,7.21,49.68
2dpf,122.1,2.21,0.94,3.11,87.22,137.24,0.82,20.3,49.05
3dpf,25.45,2.18,3.68,1.38,66.01,343.61,0,1.09,7.06
5dpf,32.01,3.55,0,3.96,24.25,214.93,0,8.47,9.68
10dpf,18.57,0.92,10.89,2.3,23.22,83.8,0,1.49,2.47
