stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
24hpf,0,0,0.93,0,0,0,0
2dpf,0,0,0,1.29,0,0,0
3dpf,1.37,0,0,0,0,0.42,0
5dpf,0.31,0.38,10.92,0.44,0.7,0,0.97
10dpf,1.47,0,50.87,0,0.4,0.65,0
