stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,3.7,0,0,0
2dpf,1.89,0,5.53,0,0,0.76
3dpf,0,0,3.5,0.46,0,0
5dpf,0.86,1.37,11.19,0.87,0.73,0
10dpf,0,2.22,7.59,0,0,0
