stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,4.8,6.57,0,0.76,0,0
3dpf,0.61,1.35,0,0,0,0
5dpf,1.82,11.15,0,0,0,1.13
10dpf,11.75,58.85,1.1,0.74,0.97,2.42
