stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,0.87,0,0,0,0
3dpf,0,0,0,0.38,0,0
5dpf,0.83,0,0.89,1.49,0.33,0.98
10dpf,0.92,0,0,0,0,0
