stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
24hpf,0,0,0.86,0,0,0
2dpf,3.58,0,0,2.05,4.28,0
3dpf,5.11,0,1.19,0,3.67,0
5dpf,0.49,0.79,0,0,1.36,0
10dpf,6.15,0,0,0,0.58,1.77
