stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,22.72,0,0,0,9.44,0,0,0,0
12hpf,63.84,0,0,0,0,0,0,7.62,4.32
14hpf,14.14,0,2.52,0,3.7,0,0,2.71,0
16hpf,78.97,1.84,0,11.21,0,0,0,1.76,0
19hpf,113.91,0,0,18.45,0,0,0,0,2.42
24hpf,44.07,0,0,0,0,0.82,0,0,0.88
2dpf,326.48,0.77,0.56,16.56,10.59,29.7,1.73,4.29,6.95
3dpf,85.6,0.46,0,8.08,3.35,15.99,0,0,0.31
5dpf,104.08,0,1.09,10.11,2.08,15.72,0,1.12,3.15
10dpf,45.04,0,0.48,7.62,1.24,15.23,0,2.16,0
