stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,106.46,0,0,0,0,0,36.07,0,56.78
12hpf,182.23,0,0,0,4.09,0,25.49,10.77,39.78
14hpf,76.34,0,0,9.43,0,0,0,0,7.48
16hpf,259.25,0,0,83.06,0,2.38,0,3.83,5.24
19hpf,228.92,0,0,94.69,5.18,1.58,1.67,0,12.65
24hpf,181.7,0,0,1.46,0,0,0.94,5.48,5.67
2dpf,241.99,0,0.48,35.83,2.96,5.58,1.49,0.53,10.31
3dpf,36.18,0,0,19.56,0,3.64,0,0.46,0.67
5dpf,101.95,0.89,1.4,17.74,0,2.14,0.99,0,2.32
10dpf,16.29,0.44,0,15.01,0,1.96,0,0.81,0
