stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,5.1,0,0.48,0,1.58,2.93,2.49
3dpf,4.26,0,0,0.65,0,1.06,0
5dpf,3.23,0,0,1.3,0.3,1.12,2.47
10dpf,9.09,2.4,0,0,1.1,2.49,0
