stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,8.01,0,1.04,0.79,1.5,0.74,1.09
3dpf,5.86,0.61,0,0,0,0,0
5dpf,0,0,0,2.71,0,0,0
10dpf,3.91,0,0,0,0,0,0
