stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,0,0,0,0,0,2.1
3dpf,4.34,0,0,0.35,0,0,0,2.28
5dpf,0.33,0.85,1.51,0.69,2.31,0.35,0.29,100.71
10dpf,2.2,0,0,0,0,0,0,31.07
