stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,38.42,0,0,0,0,0
12hpf,7.4,0,383.28,391.14,0,0,0,0,0
14hpf,17.48,32.21,196.82,188.03,9.17,0,0,0,0
16hpf,31.21,44.87,75.89,629.37,10.61,0,1.99,0,3.54
19hpf,43.13,0,42.35,416.39,18.31,0,0,0,0
24hpf,67.33,0,40.69,71.14,9.42,0,0,0,0
2dpf,29.28,1.34,47.5,122.96,227.88,8.29,0,5.94,2.42
3dpf,111.11,0,14.25,34.25,46.78,0.38,0,0,0.82
5dpf,5.12,0,38.69,114.79,42.94,1.18,0.46,0,3.89
10dpf,41.28,0.42,37.03,69.6,46.69,4.63,0,1.51,0
