stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,1.16,0,0,0,1.4,3.25
3dpf,24.65,0,0,0.83,0,0
5dpf,1.81,1.38,0.65,3.94,0.52,1.9
10dpf,22.05,0,0.65,0.54,0.69,0.43
