stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,8.21,0,0,0.54,0
3dpf,0.49,3.07,0,0,1.61,0
5dpf,0,26.67,0.72,0.91,0.74,0.71
10dpf,0.72,17.64,0.7,0,5.05,0
