stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,2.68,0.92,1.79,0.88,0,0.62
3dpf,16.13,0,0.75,0,0,0
5dpf,0.76,1.1,4.78,0.71,0.37,0.52
10dpf,9.35,0,3.11,0,0,0
