stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,345.14,0,0,0,48.41,0,0,144.41,150.92
12hpf,47.57,2.08,0,0,8.03,0,0,6.51,15.04
14hpf,123.12,0,11.6,0,16.5,0,0,18.29,10.09
16hpf,112.61,5.35,0,2.4,30.11,0,3.46,19.66,34.12
19hpf,1420.14,3.69,3.56,10.5,118.27,0,1.59,33.16,114.37
24hpf,262.65,1.69,3.82,7.67,66.9,0.84,1.25,8.67,20.49
2dpf,312.33,4.87,15.2,12.61,183.99,30.81,7.9,26.4,26.08
3dpf,301.81,1.24,2.51,2.47,1.67,7.9,0,4.31,3.25
5dpf,16.29,0,9.16,1.25,14.22,8.56,0.98,7.7,6.85
10dpf,34.66,0,3.81,0,0.44,0,0,1.26,0
