stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,4.61,0,0,1.24,0.99,6.77
3dpf,3,0,0.5,1.29,0,3.79
5dpf,2.01,0.36,0.84,1.34,0,57.65
10dpf,4.35,1.46,0,0.9,1.04,0.68
