stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,0,1.35,0,0.5
5dpf,2.15,0.72,0.89,0,0.79,0.51
10dpf,0,0,0.94,0,0,0
