stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,186.31
12hpf,0,0,0,0,0,0,0,0,2.5
14hpf,0,0,0,0,0,0,0,0,253.56
16hpf,0,0,0,0,0,0,0,0,7.66
19hpf,0,0,0,0,0,0,0,0,84.22
24hpf,0.93,0,0,0,0,0,0,0,2.26
2dpf,7.88,0,0,2.05,3.22,8.95,0.52,5.09,163.71
3dpf,13,3.53,0.29,1.51,1.24,11.82,0,0,58.54
5dpf,4.83,2.85,0.29,2.85,3.83,17.1,0,4.64,257.76
10dpf,16.62,3.73,0,0.79,0.4,4.4,0.51,2.04,82.4
