stage,central_nervous_system,mesenchyme,neural_crest,notochord,periderm
2dpf,1.99,4.16,0.77,0.48,0
3dpf,3.44,0,0,0,0
5dpf,1.87,0,0,0.31,0.78
10dpf,2.14,0,0,0.57,0
