stage,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
16hpf,0,0,66.62,0,0
24hpf,0,0,10.05,0,0
2dpf,0,0,1.49,0,1.14
3dpf,0.35,0.36,2.4,0.78,0
5dpf,0,0,0.35,0,0.33
10dpf,0,0,6.7,0.96,0
