stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,306.5,0,0,0,107.36,16.27,0,196.93,1190.67
12hpf,23.06,0,0,0,25.48,2.51,0,14.59,230.1
14hpf,0,0,0,0,5.3,0,0,29.09,2.28
16hpf,2.06,0,0,0,0,0,0,17.65,1.61
19hpf,0,0,0,0,0,0,0,10.04,0
24hpf,0,0,0,0,0.9,0,0,11.37,0.93
2dpf,1.84,0,0,3.45,12.9,15.69,0.55,0.81,0.54
3dpf,6.44,0.91,0.3,1.77,1.59,12.62,0,1.28,0
5dpf,1.34,0,0.34,4.34,2.66,20.21,0,1.97,1.68
10dpf,4.86,0,0.95,5.7,0.95,11.8,0,0,0
