stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,3.55,2.15,0,0
3dpf,0.3,0.33,3.73,7.71,0,0
5dpf,0,0.42,5.71,26.41,0.46,0.87
10dpf,0,0,1.52,5.86,0,0
