stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,1.64,2.83,19.14,1.96,3.42,0,3.7
3dpf,0,0,0.73,0,0.59,0,0.49
5dpf,0,0.85,3.38,0,2.38,0,4.86
10dpf,2.41,0,1.65,0,0,0.85,0
