stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,98.75
12hpf,9.21,2.1,3.8,0,1.81,0,0,3.73,0,122.44
14hpf,22.76,0,16.36,2.84,0,2.52,0,0,3.02,163.32
16hpf,93.42,3.42,11.45,4.62,16.92,14.81,2.05,3.62,48.95,145.47
19hpf,221.35,4.25,3.97,10.99,16.14,16.59,20.84,0,40.5,136.96
24hpf,54.86,1.89,31.86,13.22,15.43,14.93,11.82,1.74,75.9,57.96
2dpf,340.83,5.74,35.31,72.16,132.08,248.89,83.38,6.49,124.77,163.92
3dpf,669.99,30.74,26.34,41.45,63.23,425,12.86,0,46.09,61.19
5dpf,484.17,54.09,173.23,215.38,104.87,1516.81,86.27,34.76,238.61,638.43
10dpf,1647.87,63.69,153.84,107.7,49.31,550.97,27.96,1.62,96.33,101.89
