stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,46.31,0,0,0,140.07,24.03,0,30.56,55.49,11.35
12hpf,115.67,122.17,25.95,269.05,182.09,8.45,0,60.64,130.72,16.66
14hpf,78.99,89.75,327.2,650.31,209.35,24.84,0,5.32,329.61,29.83
16hpf,75.09,169.16,244.43,351.69,104.69,19.58,4.19,9.57,416.36,62.4
19hpf,230.97,11.3,122.72,179.21,14.08,16.1,1.67,9.58,107.64,214.67
24hpf,614.94,29.7,777.22,302.39,138.82,162.2,58.75,5.67,331.56,416.84
2dpf,1589.18,59.16,528.85,796.92,749.23,1833.63,184.59,24.09,291.61,264.48
3dpf,3551.74,142.14,812,520.71,191.5,3798.88,58.34,0,83.13,686.81
5dpf,473.52,179.51,1949.07,1296.66,196.46,2952.32,126.24,45.01,251.37,1376.51
10dpf,2894.14,470.59,2391.69,1095.89,249.58,3343.24,109.13,2.9,241.46,806.39
