stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.65,0,0,0,0,0,0,0,0
12hpf,1.87,0,0,0,6.18,0,0,0,0
14hpf,3.35,0,0,0,0,0,0,0,0
16hpf,0,0,29.01,30.99,0,0,0,0,0
19hpf,13.46,0,0,48.69,3.97,0,0,0,0
24hpf,5.58,0,1.87,63.1,0.84,0.94,0,0.94,5.39
2dpf,26.44,0,0,39.43,20.19,97.49,0,10.02,5.92
3dpf,2.7,1.09,0,14.29,3.92,443.1,0,0.78,1.14
5dpf,17.74,7.3,13.2,141.03,22.21,948.08,4.45,32.86,18.17
10dpf,4.11,1.44,1.17,16.4,4.05,228.04,0,1.34,1.49
