stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
16hpf,2.56,0,0,0,0,0,0
2dpf,0,0,0,1.57,0,0,1.12
3dpf,1.12,0,0,0,0.39,0,0
5dpf,0,0.86,1,0,0,0,0
10dpf,0,1.16,1.24,0,0,0.99,0
