stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
24hpf,1.33,0,0,0,0,0
2dpf,22.95,0,0,0.92,0,0
3dpf,5.2,0,0,0.37,0,0
5dpf,34.78,0,0.32,2.56,0.6,1.81
10dpf,5.03,2.79,0.91,1.05,0,3.61
