stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
24hpf,1.03,0,0,0,0
2dpf,4.66,0,5.19,1.2,1.67
3dpf,11.17,0.31,0.82,2.08,0
5dpf,25.43,5.65,1.68,4.71,0.62
10dpf,23.46,1.45,0,0.69,0.53
