stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,2.29,0,1.11,2.52
3dpf,1.81,0,0.36,0.49
5dpf,0.38,0,0,0.39
10dpf,4.45,1.14,0,0
