stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,0,0,0,1.28,0
3dpf,0,0,0,0,0.34
5dpf,0,0,0.42,0,0.39
10dpf,0.73,0.62,0,0,0
