stage,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.57,3.66,0,0
3dpf,0,1.23,7.38,0,0
5dpf,2.05,0.92,6.4,0.49,0.74
10dpf,0,2.01,8.19,0.62,0
