stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.16
12hpf,0,0,0,0,0,0,0,0,8.31
14hpf,0,0,0,0,0,0,0,0,114.58
16hpf,0,0,0,0,0,0,0,0,2.93
19hpf,7.5,0,0,0,3.28,0,0,0,3.56
24hpf,11.64,0,0,0,0,0.82,0,1.83,80.05
2dpf,0,0,0,0,0,0,0,0.92,1.99
3dpf,4.96,14.85,0.33,0,0,1.37,0.36,0,7.24
5dpf,4.63,379.14,0.84,1.1,0.97,7.93,1.14,0.47,94.24
10dpf,48.5,372.49,1.28,0.85,0,22.71,0.72,0.66,5.63
