stage,central_nervous_system,endoderm,mesenchyme,paraxial_mesoderm
16hpf,0,0,0,2.4
2dpf,2.55,1.54,0,0
3dpf,0.98,0,0.46,0.33
5dpf,0,0,0,3.33
