stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,0.76,4.25,0
3dpf,0.45,0,0,1.37,0
5dpf,2.3,0.32,0.38,0.64,0
10dpf,4.63,0,0,2.37,0.51
