stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0,1.85,0,0,1.72,0.56
3dpf,4.34,0,0,0.33,0.3,2.92
5dpf,0,0,0,0,0,1.07
10dpf,2.36,0,1.79,0,0,0
