stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,556.16,0,0,0,9.92,9.76,0,0,13.31,184.54
12hpf,2360.51,33.63,17.63,28.8,186.27,26.09,3.9,37.38,138.4,730.19
14hpf,677.6,2.33,62.78,55.89,22.54,12.81,6.98,4.72,32.68,121.39
16hpf,893.92,20.05,67.45,48.5,161.99,61.77,8,16.96,98.6,282
19hpf,1625.61,11.35,28.57,50.33,86.76,49.34,15.46,11.89,24.22,487.13
24hpf,2260.93,26.85,305.9,113.77,307.36,141.41,51.05,4.99,249.3,393.31
2dpf,1500.55,38.22,137.48,172.72,442.75,827.38,153.15,16.44,310.63,445.57
3dpf,3075.16,64.62,103.31,77.6,54.98,822.55,32.8,0.36,61.03,168.83
5dpf,353.92,56.94,185.23,227.35,83.27,1013.7,89.31,45.88,164.36,740.96
10dpf,1415.04,175.33,343.07,281.41,90.2,1386.66,78.14,2.98,195.59,329.24
