stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0.53,0,1.58,0,0,0
3dpf,1.93,0,0.37,0.4,0.73,0
5dpf,0,0.47,0,0,0,1.04
10dpf,2.61,1.16,2.83,0,0.45,0
