orig_gene,proc_gene
a1cf,a1cf
a2ml,a2ml
aaas,aaas
aacs,aacs
aadac,aadac
aadacl4,aadacl4
aadat,aadat
aagab,aagab
aak1a,aak1a
aak1b,aak1b
aamdc,aamdc
aamp,aamp
aanat1,aanat1
aar2,aar2
aars,aars
aars2,aars2
aarsd1,aarsd1
aasdh,aasdh
aasdhppt,aasdhppt
aass,aass
aatf,aatf
aatka,aatka
aatkb,aatkb
abat,abat
abca12,abca12
abca1a,abca1a
abca1b,abca1b
abca2,abca2
abca3b,abca3b
abca4b,abca4b
abca5,abca5
abcb10,abcb10
abcb11a,abcb11a
abcb11b,abcb11b
abcb4,abcb4
abcb5,abcb5
abcb6a,abcb6a
abcb6b,abcb6b
abcb7,abcb7
abcb8,abcb8
abcb9,abcb9
abcc1,abcc1
abcc10,abcc10
abcc12,abcc12
abcc13,abcc13
abcc2,abcc2
abcc3,abcc3
abcc4,abcc4
abcc5,abcc5
abcc6a,abcc6a
abcc6b.2,abcc6b.2
abcc8,abcc8
abcc8b,abcc8b
abcc9,abcc9
abcd1,abcd1
abcd2,abcd2
abcd3a,abcd3a
abcd3b,abcd3b
abcd4,abcd4
abce1,abce1
abcf1,abcf1
abcf2a,abcf2a
abcf2b,abcf2b
abcf3,abcf3
abcg1,abcg1
abcg2a,abcg2a
abcg2b,abcg2b
abcg2c,abcg2c
abcg4a,abcg4a
abcg4b,abcg4b
abcg5,abcg5
abcg8,abcg8
abch1,abch1
abhd10a,abhd10a
abhd10b,abhd10b
abhd11,abhd11
abhd12,abhd12
abhd13,abhd13
abhd14a,abhd14a
abhd14b,abhd14b
abhd15a,abhd15a
abhd16a,abhd16a
abhd17aa,abhd17aa
abhd17ab,abhd17ab
abhd17b,abhd17b
abhd17c,abhd17c
abhd18,abhd18
abhd2a,abhd2a
abhd2b,abhd2b
abhd3,abhd3
abhd4,abhd4
abhd6b,abhd6b
abhd8a,abhd8a
abhd8b,abhd8b
abi1a,abi1a
abi1b,abi1b
abi2a,abi2a
abi2b,abi2b
abi3a,abi3a
abi3b,abi3b
abi3bpb,abi3bpb
abl1,abl1
abl2,abl2
ablim1a,ablim1a
ablim1b,ablim1b
ablim2,ablim2
ablim3,ablim3
abo,abo
abr,abr
abraa,abraa
abrab,abrab
abracl,abracl
abraxas1,abraxas1
abraxas2,abraxas2
abt1,abt1
abtb1,abtb1
abtb2a,abtb2a
abtb2b,abtb2b
acaa1,acaa1
acaa2,acaa2
acaca,acaca
acacb,acacb
acad11,acad11
acad8,acad8
acad9,acad9
acadl,acadl
acadm,acadm
acads,acads
acadsb,acadsb
acadvl,acadvl
acana,acana
acanb,acanb
acap1,acap1
acap2,acap2
acap3a,acap3a
acap3b,acap3b
acat1,acat1
acat2,acat2
acbd3,acbd3
acbd4,acbd4
acbd5a,acbd5a
acbd5b,acbd5b
acbd6,acbd6
acbd7,acbd7
accs,accs
acd,acd
ace2,ace2
acer1,acer1
acer2,acer2
acer3,acer3
ache,ache
acin1a,acin1a
acin1b,acin1b
ACKR2,ACKR2
ackr3a,ackr3a
ackr3b,ackr3b
ackr4a,ackr4a
ackr4b,ackr4b
aclya,aclya
aclyb,aclyb
acmsd,acmsd
aco1,aco1
aco2,aco2
acot11a,acot11a
acot11b,acot11b
ACOT12,ACOT12
acot13,acot13
acot14,acot14
acot15,acot15
acot16,acot16
acot17,acot17
acot18,acot18
acot19,acot19
acot20,acot20
acot21,acot21
