stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,486.09,5496.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.3,0,0,0,0,0,0
  5-6,143.93,2395.93,6.55,0,0,0,0,0,0,0,0,0,0,0,0,194.16,27.88,0,6.9,83.64,0,0,0,0,0,0
  7-9,47.5,60.08,70.26,0,0,90.49,0,0,59.25,0,0,0,0,0,0,1275.09,13.17,0,439.47,3.63,15.58,0,0,0,0,0
 10-12,0,30.01,13.83,0,0,21.39,0,0,10.03,0,0,0,0,0,0,185.47,24.15,0,81.24,0,0,0,7.91,5.74,0,0
 14-21,0,0,0,4.23,0,0,0,0,0,0,0,11.32,0,0,0,8.2,0,0,0,0,0,1.08,0.82,0.86,0.95,0
 24-34,0,0,0,6.02,0,0,2.67,0,0,0,0,20.46,0,0,0.77,0.75,3.17,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.65,0.59,0,0,3.61,0,0.83,0,0,0,1.07,5.94,0,0,1.86,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,11.88,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,3.27,0,0,3.34,0,0,0,0,6.11,2.45,0,0,0,1.42,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,1.07,0,0,0,0,3.79,13.44,3.68,0,2.6,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,10.78,0,0,18.06,0.77,0,0,0.6,2.76,5.11,0,0,4.09,0,0.83,0,0,0,0,0,0,0,1.32
 96-106,0,0,0,6.24,3.72,0,1.48,0,0,0,0,1.56,12.51,1.26,0,7.74,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,11.92,0,0.45,36.46,1.45,0,1.28,2.44,2.68,15.31,1.96,0,3.05,0,0,0,0,0,0,0,0,3.24,1.51
120,0,0,0,7.41,0,0,20.81,0,0,1.4,0,0,28.79,1.59,0,0,0,0,0,0,0,0,0,0,0,0
