stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.4,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.67,12.27,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.04,0,5.91,0,0,43.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.31,0,0,0,16.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.12,3.81,85.12,28.79,32.34,0,0,155.6,2.89,1.86,2.07,0,1.96,0,0,36.66,0,0,6.6,552.29,28.17,13.35,60.49,31.22,0,1.09,23.96,209.43,0.87,10.85,607.01,0,0,4.33,0
 24-34,0,1.72,0.67,11.99,7.46,27.22,0.62,0,81.79,0,0,0,0,0.68,1.78,1.27,24.09,0,0,4.32,401.51,0,32.82,23.9,0,0,0,0,25.08,0,1.45,267.95,0,0,1.54,0
 36-46,0,0,0,1.14,0,54.79,8.76,0,65.61,0.61,0,0,0,0,2.16,0.67,14.6,0,0,5.08,374.5,0.58,37.91,7.4,0,0,0,0,20.79,0,0,174.77,0,0,1.44,0
 48-58,0,0,0,0.39,0,51.57,0,0.8,99.13,0,0,0,0,0.37,4.33,0,11.43,0,0.4,1.83,209.67,0,25.07,27.14,0,0,0,0,2.86,0,0,152.39,0,0,0,0
 60-70,0,0,0,3.95,0,64.72,0,0,95.56,1.07,0,0,0,0,1.78,0,21.65,0,0,0,141.08,2,21.69,17.6,0,0,0,0,9.51,0,0,80.54,0,0,0,0
 72-82,0,4.57,0,1.84,0,66.77,0,1.73,70.89,2.93,0,1.34,0,0.85,8.02,0,25.34,0.55,0,3.5,155.41,0,27.05,13.58,0,0,2.13,0,0,0,0,63.2,0.8,0.57,2.02,0
 84-94,0,3.44,0,1.16,0,47.2,0.56,0,63.12,0,0,0,0,0.68,2.26,0,14.08,0,2.29,3.91,80.82,0,17.71,10.77,0,0,1.64,0,11.68,0,0,43.09,0,0,0,0
 96-106,0,0.74,0,3.36,0,16,0,0.75,65.52,5.5,0,1.33,1.08,7.53,6.99,0,12.46,0,1.88,6.76,59.23,0,41.94,24.58,0,1.57,2.72,0,3.97,0,0,58.31,0,0.77,0,0
108-118,0,3.41,0,5.41,1.78,28.15,0,0,72.11,0.43,0,0,0.44,0,2.09,0,18.37,0,0,0.6,186.16,0.69,21.62,13.19,0,0,0.88,0,5.66,0,0,34.91,0.67,0,7.51,2.12
120,0,0,0,4.93,0,24.02,0,2.36,51.11,1.73,0,0,0,0,9.41,0,30.1,0,0,10.14,177.34,0,1.29,5.22,0,0,2.57,0,4.05,0,0,24.33,0,0,0,0
