stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0
  5-6,0,28.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.58,0,3.52,0,0,51.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.21,13.58,0,0,22.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.48,0,123.45,0,11.1,30.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247.55,83.22,0,0,281.13,0,0,8.97,0,5.78,0,140.75,0,0,0,0
 14-21,2.31,0,0.82,11.61,237.95,9.94,13.18,0,0,0,997.28,46.97,4.1,3.18,1.89,0,0,24.6,0,36.6,2.46,0,2.26,910.15,128.33,1.04,0,37.17,0,5.01,0,8.66,0,15.81,11858.39,0,2.64,0,0
 24-34,0,0,0.9,0,30.51,0.81,21.75,0,0,1.68,1000.81,0.75,0,0.71,0.7,1.61,1.01,3,4.02,18.84,1.83,0,12.55,1255.5,5.24,2.75,1.6,0,0,12.3,0,0,3.77,4.23,6967.78,0,7.15,0,0
 36-46,0,0,0,0.56,0.6,1.16,32.55,1.41,0,4.35,356.71,0,0,0,0,0,0,11.86,0,14.22,0,1.42,14.06,964.52,0.83,7.73,0,0,0,0,0,0,0,0,4188.72,0,10.48,0,1.45
 48-58,0,0,0,0,2.56,0,65.05,1.02,0,4.35,274.59,0,0,0,0,0,0,0.84,0,22.04,0,0,18.87,508.12,0,3.18,0,0,0,5.57,0,0,0,0,2610.24,0,11.17,0,2.82
 60-70,0,0,0,0,0.63,0,60.35,0,0,2.41,259.93,0,0,0,0,0,0,0,0,25.17,0,0,18.15,202.3,0,3.07,0,0,0.66,0,0,0,0,0,813.3,0,0,0,14.05
 72-82,0,0,1.43,0,3.68,0,34.87,0.75,0,4.08,636.93,1.48,0,0,0,0,0,0,0,39.47,0,0.63,6.71,164.1,0,1.85,0,0,0,0,0,0,0,0,533.63,0,1.3,0,0
 84-94,0,0,0,0,6.98,0,80.6,0,0,0.94,483.37,0,0,0.77,0.6,0,0,0,0,33.03,0,0,17.4,246.44,0,3.41,0,0,4.92,0,0,0,0,0,572.64,1.03,34.85,0.91,0
 96-106,0,0,0,0,3.55,2.32,43.2,0,0,3.07,521.53,0,0,4.51,0,0,0,0,0,58.97,0,0,2.83,90.15,0,7.91,0.59,0,0,0.81,0,0,0,0,663.65,0,0.75,2.28,0
108-118,0,0,1.22,0,11.87,0,30.73,0,0.59,0.72,561.16,0,0,1.23,1.23,0,0,0,0,60.69,0,0,2.81,117.88,0,2.42,0,0,0,0,0,0,0,0,397.83,0,3.65,4.05,0
120,0,0,0,0,24.43,0,5.61,0,2.12,0,283.83,0,0,11.77,0,0,0,0,0,26.83,0,0,2.41,124.94,0,11.95,0,0,0,0,0,0,0,0,492.95,0,1.8,0,0
