stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.23,1490.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.46,0,0,0,0,0,0,0,0
  5-6,20.07,571.12,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,21.97,0,0,0,0,6.16,0,0,0,0,0,0,0,0
  7-9,0,5.81,0,3.29,0,0,12.81,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,51.39,0,0,47.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.24,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.74,3.95,0,77.2,0,0,0,0,40.26,0,0,0,0,0
 14-21,0,0,0,0,8.19,1.21,6.21,0,0,0,0,0,9.52,0,0,0,0,0,16.81,0,12.08,53.89,3.26,0,2.89,0,0,69.92,180.68,286.15,23.65,0,0,0,0
 24-34,0,0,0,0,2.76,0.79,9.52,9.98,0,0.86,0,0,5.2,0.88,0.61,0,0.65,1.37,32.05,0,19.56,84.71,3.13,0.62,0,0,1.66,0,57.07,137.94,17.83,0,10.55,0,0
 36-46,0,0,0,0,3.46,0,8.12,48.23,0,0,5.67,0,10.05,11.85,0,0,0,0,8.71,1.26,5.49,40.71,3.72,0,0,0,0,0,37.94,8.27,4.73,0,0,0.78,0
 48-58,0,0,0,0,0.41,0,2.78,29.91,1.4,1.51,1.07,0,2.27,0,0,0,1.78,0,11.73,0,21.85,35.89,0,0,0,0,0.93,0,17.66,0,3.22,0,0,0,2.23
 60-70,0,0,0,0,2.37,0,4.61,36.26,0,0,1.48,0,3.87,0,0,0,0,0,22.75,0,12.43,14.26,3.13,0,0,0,0,0,2.56,0,10.66,0.98,0,0,5.82
 72-82,0,0,0,0,4.05,0,13.37,37.63,0,0,12.02,0,1.24,0,0,0,0,0,9.57,2.43,6.84,23.08,0,0,0,1.31,0,0,8.79,0,1.69,1.44,0,5.83,0
 84-94,0,0,2.22,0,2.02,0,19.4,45.32,0,0,2.71,0,0.94,0,0,0,0,0,18.27,0,3.21,23.82,0,0.92,0,0,12.63,0,7.36,0,1.27,6.92,0,1.25,0
 96-106,0,0,0,0,0,0,11.85,57.06,0,0,8.62,0,2.44,1.85,0,0.76,0.65,0,16.93,3.91,17.66,70.44,0,0,0,0,10.95,0,5.2,0,0,5.5,10.95,3.44,0
108-118,0,0,0,0,2.65,0,10.75,64.18,0.52,0,4.41,0,4.35,2.83,0.57,2.81,2.56,0,28.15,0,8.33,23.17,0,1.3,0,3.1,1.86,0,8.39,0,0,10.86,3.64,0,7.37
120,0,0,0,0,3.74,0,0,44.37,2.61,0,0,0,1.85,2.69,0,0,0,0,30.18,10.85,15.2,5.67,0,0,0,0,11.43,0,6.29,0,7.04,0,1.14,8.22,0
