stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.31,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,94.78,0,0,14.87,0,136.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.89,0,0,0,0,35.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,18.89,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,1.03,0,0,0,30.54,0,0,5.7,0.87,0,0,0,0,0,0
 24-34,0,0,0,3.04,0,0.63,0,0,0,0,0,2.25,0,0,0,0,0.95,2.33,0,0,4.3,1.87,0,0,0,4.42,0,0,0.64,0,0,0,0,0,0,0
 36-46,0,0,0,1.18,0,16.8,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,9.14,2.15,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0
 48-58,0,0,0,23.1,0,20.1,2.05,0,0,0,0,3.4,0,0,0,0,6.6,0.52,0,1.03,13.72,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,173.34,0,40.31,1.46,0,0,0,0,36.62,0,0,0,0,58.22,1.91,7.16,29.81,7.43,0,0,0,0.96,0,0,2.14,0,0,0,0,0,0,0,6.3
 72-82,0,0,0,272.83,0,30.98,3.49,0,0.68,0,0,34.42,0,0,0.69,7.04,21.03,0.55,4.56,2.9,9.61,1.37,0,0,1.4,3.18,0,0,0.79,0,0,0,1.34,0.58,0,0
 84-94,0,0,0.56,676.9,0,60.31,18.11,0,0.96,0,0,52.22,2.26,0,0,0,38.92,8.21,1.07,1.19,11.96,0,0.92,0,0,0,0,0,0,0,0,0,1.23,0,2.51,0
 96-106,0,0,0,834.72,3.17,55.23,13.34,0,2.52,0,21.77,171.38,0.94,0,0,2.01,87.03,9.78,2.73,18.88,34.13,3.8,0,0,11.19,0.9,1.35,31.68,0,0,0,1.36,3.85,3.69,1.75,0
108-118,0,0,0.89,847.78,0,179.92,30.82,1.53,0,0,1.76,77.74,2.04,0,0,0,157.99,4.66,6.39,6.14,24.76,1.71,0,0,4.69,0,0,8.01,0,0,0,3.05,2.7,1.36,0,0
120,0,0,0,613.88,0,18.73,29.37,0,0,0,3.7,119.07,1.17,2.22,0,0,136.86,4.66,8.3,17.43,23.63,0,3.34,0,0,0,0,24.02,0,0,0,0,0,0,0,0
