stage,blastomeres,endoderm,epidermis,eye,hatching_gland,melanocytes,mesenchyme,neural,notochord,somites,spinal_cord,vasculature
  5-6,21.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.74,0,0,17.56,0,0,0,0
 10-12,0,7.1,0,0,0,0,0,9.23,0,0,0,0
 14-21,0,0,0,0,2.29,0,0,6.6,0,0.83,0.97,0
 24-34,0,0,0,0,0,0,0,1.47,0,0,0.6,0
 36-46,0,0,0,0,0,7.12,0,3.85,0,0,0,0
 48-58,0,0,0,6.99,0,0,1.11,0,0,0,0.68,1.83
 60-70,0,0,0,1.58,0,0,0.87,0.57,0,0,0,0
 72-82,0,0,0,3.17,0,0,0,0.6,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.49,0,0,0
108-118,0,0,0,0,0,0,0,1.92,0,0,2.91,0
120,0,0,1.1,0,0,0,0,0,0,0,0,0
