stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.38,292.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,188.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,10.83,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.12,11.78,0,0,52.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.19,0,0,0,0,0,57.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702.87,7.27,0,0,137.08,0,0,0,0,9.32,0,0,5.88,0,0,0,0
 14-21,0,0,0,5.64,29.67,7.28,0,72.84,0,0,0,4.38,0.92,0,0,0,0,0,32.93,1.54,11.83,0,0,10.72,564.17,98.25,1.19,7.55,12.96,0,2.43,0.9,32.11,3.21,0,22.99,136.76,0,1.86,0,0
 24-34,0,0,0.84,2.37,20.71,0.66,0,191.46,0.6,0.62,0,12.96,2.33,3.72,0,0.64,0,1.71,47.14,2.35,57.25,0,3.13,13.48,818.54,222.49,13.48,7.74,0,1.98,0.72,0,0,36.31,0,9.58,129.47,0,7.81,0,0
 36-46,0,0,0,0,29.57,0.58,0,197.62,2.76,0,0.6,20.64,1.33,3.45,0,0,0.65,0,8.93,2.61,53.28,0,0,20.91,493.99,230.17,8.86,4.72,0,2.1,1.77,0,0,89.12,0,0,58.74,0,1.66,0,0
 48-58,0,0,0,0.43,8.08,0,0,170.86,0,0,0,15.48,7.46,6.74,0,0.4,0,0.95,3.63,0.45,40.14,0,1.67,6.58,324.8,114.25,3.39,3.86,0,0,0,0,0.92,64.43,1.3,0,41.91,0,0.5,0,0
 60-70,0,0,0.86,0,8.06,0,0,209.94,0,0.89,0.62,25.45,5.73,0,0,0,0,0,32.37,0.88,58.08,1.53,5.2,3.94,277.37,72.68,12.43,11.04,0,0,3.88,0,0,55.17,1.58,0,45.61,0,1.66,0,9.54
 72-82,0,0,0.69,0,6,0,0,140.38,10.2,0.79,0.51,32.37,5.03,0,0,1.34,1.57,0,9.03,0,72.79,0,7.17,7.51,219.19,42.37,16.39,14.33,0,0,2.82,1.65,0,168.81,0,0,59.54,0,1.64,0,0
 84-94,0,0,2.29,0,1.96,0,0,144.86,0,1.36,2.98,23.81,3.31,1.52,0.59,4.48,1.97,3.44,5.88,0,81.11,0,1.69,0.93,145.25,59.57,6.52,7.83,0,0,0,0,0,334.74,0,0,25.13,0,6.16,1.74,3.39
 96-106,1.12,0,1.07,0,13.22,9.78,0.76,154.03,0.94,0,0.74,43.08,3.57,0.95,0.75,0,0.86,0,21.5,6.77,88.23,0,6.9,3.73,133.51,40.77,8.18,6.63,0,0,0.74,0,0,415.46,8.07,0,9.89,0,2.67,4.24,0
108-118,0,0,1.56,0,14.75,0,0,156.68,0.47,4.23,1.7,50.05,6.36,0,0.48,0.91,0,0,3.03,0,123.47,0,3.44,13.71,215.66,57.12,11.69,7.23,0,0,3.74,0,0,649.4,3.18,0,2.55,3.05,4.98,0,0
120,0,0,5.72,0,32.24,1.64,0,262.31,0,0,3.26,36.98,1.24,2.11,6.07,0,0,0,7.63,0,142.39,7.47,11,32.56,212.45,51.92,4.09,2.51,0,0,2.79,0,0,450.47,0,0,0,0,0,2.64,0
