stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  5-6,23.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.57,5.05,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.52,13.56,0,0,0,0
 14-21,0,0.88,0.85,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0
 24-34,0,0,0,0,0.66,0,0,0,0.73,0,0,6.76,0,0.73,0,0,0
 36-46,0,0,0,0,1.88,0,0,0,1.63,0,0,15.16,0,0.73,4.45,0.72,1.85
 48-58,0,0,0,0,9.61,0,0,1.38,4.11,0,0,7.19,0,3.85,0,0.37,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.72,1.17,0,0.92,0,0,0
 72-82,0,0,0,0,0,1.39,0.72,0,0,0.79,0,4.55,0,0.53,0,0,0
 84-94,0,0,0,0,0,0,0,0,4.52,0,0,1.25,0,0,0,0,3.26
 96-106,0,0,0,4,0.6,0,0,0,0,0,0,0,0,10.8,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77
120,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
