stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,154.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,117.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.61,7.23,7.82,0,0,23.58,0,0,0,0,0,5.4,0,0,0,0,0,0,0,201.5,0,32.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,212.9,0,9.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,2.94,0,4.12,0,0,0,0,0,0,0,0.94,1.86,0,0,0
 24-34,0,0,0,1.73,0,1.82,0,0,0,3.34,0,0,0.81,0,0,0,0,11.13,2.47,79.37,0,0,0,0.65,1.8,0,0.69,0,0,0
 36-46,0,0,0,0.58,0,0,0,0,0,2.41,0,0,0,0,0.95,0,0,3.03,2.25,83.81,0,0,0,0,15.07,0,5.11,0,0,0
 48-58,0,0,0,0,0,0.9,10.06,0,0,2.05,0,0,0,0,0.45,0,0,5.56,3.88,36.22,0.42,0,0,0,60.14,0,10.82,0,0,0
 60-70,0,0,0,5.17,0,5.01,72.88,0,0,8.59,2.35,0,1.95,0,3.5,0,0,0,22.73,37.58,0,4.86,0,0,73.28,0,11.31,0,0,0
 72-82,0,0,0,1.81,0,10.34,139.15,0.78,0,1.69,0,0,0,0,5.16,0,0,7.33,6.99,55.58,2.26,0,0.67,0,37.24,0,0.62,0,0.57,0
 84-94,0,0,0,0,0,14.02,292.99,0,0.74,4.62,0,0,0,0.55,0,0,0,6.71,26.28,18.11,7.64,0,0,0,57.78,0,1.28,0,0,0
 96-106,0,0,0,1.76,12.41,26.97,467.01,0,0,1.5,0,0,0.97,3.07,1.07,2.74,0,13.05,30.88,51.69,0.65,10.66,1.17,0,89.4,0,0,0,0,0
108-118,0,0,0,1.08,0,24.74,442.97,0,0,1.87,0.43,0,5.79,0.98,2.55,1.34,0.59,18.52,19.83,30.08,0,0,0,0,47.33,0,0,1.2,0,0
120,0,0,0,0,0,15.24,294.64,0,0,10.76,0,0,0,5.51,0,0,0,9.5,10.55,28.77,0,0,2.41,0,34.09,0,0,0,0,14.33
