stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.58,0,0,0,0,0,0,9.6,9.54,0,24.9,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.79,3.08,0,9.58,0,0,0,0,0
 14-21,0,0,0.81,1.19,0,0,0,1.82,4.33,0,0,0,1.39,1.72,1.99,5.01,0
 24-34,0,0,0,0.75,0,0,0,0,9.48,0,0,0,0.83,0,0,0,0
 36-46,0,0,0.84,0,1.06,0.97,0,0,0,0,0,0,0,0,0,3.32,0
 48-58,0,0,0,1.73,0,0.49,0,0,1.32,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.97,1.82,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.78,2.63,0,0,0,0,0.52,0,0,0,0,0,0
 84-94,0,0,0,0.67,0.91,2.88,0,0,1.09,0,0.95,0,3.65,0,0,0,0
 96-106,0,0,2.83,0,1.1,4.41,1.41,0,5.94,0,2.36,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
120,0,0,1.89,0,0,4.21,0,0,2.64,0,0,0,0,0,0,0,0
