stage,blastomeres,eye,glial,immune,ionocyte,mesenchyme,neural,spinal.cord
  5-6,14.94,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.13,0
 24-34,0,0,0,0,0,0,1.55,0
 36-46,0,6.93,0,0,0,0,3.63,2.12
 48-58,0,0.42,0,0,0,0,0,0
 72-82,0,0,0,0.59,0,2.03,7.77,0
 84-94,0,0,0,0,0,0,5.52,0
 96-106,0,0,1.79,0,0,0,8.11,0
108-118,0,0,0,0,1.18,1.81,2.32,0
