stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,33.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.12,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,4.62,0,0,8.02,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.57,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,9.15,0,0,0,0,2.73,0.8,1.89,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,10.31,0,0,0,1.92,0,0,7.35,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,26.31,0,0,0,0,0,0,3.03,0,0,0,0
 48-58,0,0,0,0,2.21,0,10.54,0,0,0,0,0,0,0.5,0,0,0.94,0,0,22.8,0,0,0,0,0,0,2.88,0,0.64,0,0
 60-70,0,0,0,0,0,0,9.4,0,1.04,0,0,0,0,0.58,0,0,3.14,1.01,1.08,29.65,0,0,0,0,0,0,3.43,0,0,0.57,4.63
 72-82,0,0,0,0,0,0,1.58,0,0,0,0,0,0.63,0,0,1.8,6.36,1.93,0,4.81,0,0,0,0,0,0,1.7,0,0,1.04,0
 84-94,0,0,0,0,0,0,17.12,0,0,0.71,0,0,0,0,0,0,5.31,0,0,13.11,0,0,0,0,0,0,1.93,0,0,0,0
 96-106,0,0,0,0,0.77,4.74,1.65,0,2.75,0,0,0,0,0,0,0,1.77,0,1.94,5.22,0,0.65,0,0,0,0,0,0,0,0,0.69
108-118,0,0,0,0,0,0,0.75,0.65,0,0.66,0,0,0.96,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,1.56,0,0,3.57,0,0,0,0,0,0,0,1.95,0,0
