stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,71.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,22.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,0,0,0,12.7,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,0,0,3.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.8,2.91,5.88,0,0,0,0,0,0,0,0,2.19,0,0,1.9,28.88,1.36,5.23,0,1.52,14.27,2.59,0,2.47,13.56,0,0,0.81,0
 24-34,0,0,0,0,4.36,0.66,5.44,0,0,2.13,0,1.58,0,0,0,10.05,0,0,4.62,41.06,0,0.97,0,0,4.95,0,0,0,5.67,0,0,5.83,0
 36-46,0,0,0,0,0.63,0,5.43,0,0.87,0.89,0,1.34,24.57,0,0,16.64,0,0.71,4.43,30.59,2.85,0,0,0,7.47,0,0,0,2.79,0,0,13.89,0
 48-58,0,0,0,0,4.84,0,11.73,2.95,1.2,3.49,0,0,2.36,0,0.59,20.52,0,0.77,4.79,66.77,1.36,0,0,0,2.49,0,0,0,2.59,0,0,7.88,0
 60-70,0,0,0,0,0.66,0,7.42,0,2.02,5.26,0,0,12.14,0,0,33.7,0,2.89,3.88,64.35,0,0,0,0,7.75,0,0.59,0,1.8,0,0,1.4,0
 72-82,0,0,0,0,1.89,0,31.67,0,0.88,8.43,0.66,2.28,3.47,0,0,27.5,0.6,0,1.61,108.36,0,0,0,0,4.78,0,0,0,5.01,0,0,8.01,0
 84-94,0,0,1.84,0,2.09,0,15.66,0,0,2.3,0.68,0,12.5,0.57,0,24.28,0,1.84,1.7,30.74,1.8,0,4.49,0,20.37,0,0,0,5.28,0,0,9.72,1.25
 96-106,0,0,1.36,0,12.16,0,6.44,3.31,0,12.04,0,0,20.15,0,0,39.45,0,0.57,5.21,38.1,0,0,0,0,10.88,0,0,0,0,0,0,12.55,1.22
108-118,0,0,0,0,8.86,0,8.95,0.48,0,3.53,0,0.68,29.58,0,1.71,29.14,0,0.72,0.99,45.17,0,0,1.24,0,6.02,0,0,0,0,0.42,0.88,12.97,0.91
120,0,0,0,0,9.76,3.52,9.07,2.04,0,0,0,3.15,21.25,0,0,18.48,2.14,0,0,72.86,0,3.36,0,0,11.35,0,0,0,0,0,0,14.08,0
